   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
    7.799995      0.000000      0.000017      0.000017      0.000000      0.000000      0.000021      0.000000      0.813064      0.813064           NaN      0.000000      0.000007      0.000000
    7.899995      0.000000      0.000015      0.000015      0.006494      0.000001      0.000019      0.102264      0.809048      0.764519      1.000000      0.000000      0.000007      0.000000
    7.999995      0.000000      0.000014      0.000014      0.000000      0.000000      0.000017      0.000000      0.807205      0.807205      1.031250      0.000000      0.000007      0.000000
  100.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
 * The above water reflectance is actually an albedo calculation
   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
    0.000000      0.047006      0.500000      0.452994      0.094013      0.093400      1.020179      0.503280      0.490110      0.406791      0.000000      0.000000      0.000000      0.004915
    0.000000      0.041242      0.494236      0.452994      0.083446      0.102131      0.705132      0.403814      0.700913      0.561148      2.039035      4.997435      0.000150      0.008657
    0.100000      0.036499      0.413611      0.377111      0.088246      0.093519      0.624205      0.390288      0.662620      0.525426      2.239241      5.167542      0.022632      0.007182
    0.200000      0.030995      0.341685      0.310690      0.090712      0.080871      0.531010      0.383265      0.643461      0.507761      2.348400      5.268007      0.035261      0.006021
    0.300000      0.025789      0.280532      0.254742      0.091931      0.068243      0.442889      0.377909      0.633413      0.498389      2.406408      5.309004      0.041269      0.004956
    0.400000      0.021175      0.229368      0.208193      0.092319      0.056590      0.364576      0.374183      0.629137      0.494326      2.430312      5.383697      0.044956      0.003830
    0.500000      0.017378      0.187425      0.170047      0.092721      0.046354      0.298150      0.374905      0.628626      0.493599      2.462827      5.342968      0.045092      0.003127
    0.600000      0.014082      0.153011      0.138929      0.092031      0.037984      0.243033      0.370730      0.629588      0.494379      2.455666      5.430761      0.042949      0.002594
    0.700000      0.011468      0.124943      0.113476      0.091782      0.030750      0.197576      0.372934      0.632381      0.496990      2.444437      5.333844      0.040095      0.002157
    0.800000      0.009319      0.102142      0.092823      0.091233      0.024957      0.160780      0.373397      0.635294      0.499759      2.465048      5.392632      0.036436      0.001891
    0.900000      0.007549      0.083641      0.076092      0.090257      0.020015      0.130820      0.377171      0.639362      0.504471      2.426090      5.377849      0.032312      0.001386
    1.000000      0.006162      0.068579      0.062417      0.089859      0.016369      0.106591      0.376468      0.643387      0.507618      2.414007      5.323517      0.028475      0.001113
    1.100000      0.005014      0.056306      0.051293      0.089045      0.013187      0.087157      0.380212      0.646031      0.511166      2.423450      5.436701      0.025048      0.000990
    1.200000      0.004119      0.046298      0.042179      0.088968      0.010860      0.071421      0.379299      0.648236      0.512620      2.396942      5.312769      0.020891      0.000853
    1.300000      0.003359      0.038074      0.034715      0.088227      0.008779      0.058531      0.382655      0.650499      0.515753      2.405853      5.408127      0.017866      0.000642
    1.400000      0.002754      0.031338      0.028584      0.087893      0.007285      0.048051      0.378086      0.652177      0.516542      2.356651      5.306297      0.015757      0.000526
