   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
  5.99999666    0.00000034    0.00016661    0.00016627    0.00204063    0.00000097    0.00021356    0.35210758    0.78016245    0.77506602    1.79279351   10.33673477    0.00004040    0.00000000
  6.09999657    0.00000030    0.00014661    0.00014631    0.00204618    0.00000090    0.00018769    0.33492538    0.78116375    0.77586257    1.66853726    0.00000000    0.00003645    0.00000000
  6.19999647    0.00000026    0.00012872    0.00012846    0.00201981    0.00000080    0.00016454    0.32365826    0.78231698    0.77694380    2.21317649    0.00000000    0.00003290    0.00000000
  6.29999638    0.00000020    0.00011255    0.00011235    0.00182133    0.00000051    0.00014373    0.39881402    0.78311646    0.77890450    1.36334932   18.82857132    0.00003070    0.00000000
  6.39999628    0.00000019    0.00009888    0.00009869    0.00192142    0.00000061    0.00012614    0.31213713    0.78394967    0.77868563    1.50260425   48.08333588    0.00002838    0.00000000
  6.49999619    0.00000015    0.00008719    0.00008704    0.00172038    0.00000039    0.00011092    0.38895303    0.78604054    0.78196955    1.85714281    0.00000000    0.00002547    0.00000000
  6.59999609    0.00000012    0.00007667    0.00007654    0.00163036    0.00000034    0.00009734    0.36453247    0.78765005    0.78360546    1.14777267   66.71428680    0.00002308    0.00000000
  6.69999599    0.00000012    0.00006740    0.00006728    0.00178028    0.00000033    0.00008551    0.36658746    0.78825676    0.78385276    0.84007192    0.00000000    0.00002055    0.00000000
  6.79999590    0.00000014    0.00005921    0.00005907    0.00236447    0.00000049    0.00007503    0.28504372    0.78918791    0.78220123    1.68411863    0.00000000    0.00001810    0.00000000
  6.89999580    0.00000008    0.00005240    0.00005232    0.00152657    0.00000025    0.00006644    0.32467204    0.78874964    0.78463572    1.75000000    0.00000000    0.00001622    0.00000000
  6.99999571    0.00000007    0.00004612    0.00004605    0.00162602    0.00000020    0.00005821    0.37874928    0.79244995    0.78847897    1.16666663    0.00000000    0.00001474    0.00000000
  7.09999561    0.00000006    0.00004045    0.00004038    0.00160692    0.00000016    0.00005101    0.41474974    0.79297489    0.78927571    0.84030682    0.00000000    0.00001344    0.00000000
  7.19999552    0.00000006    0.00003556    0.00003550    0.00168729    0.00000014    0.00004478    0.43740296    0.79417235    0.79041088    1.00465119    0.00000000    0.00001202    0.00000000
  7.29999542    0.00000008    0.00003135    0.00003127    0.00255183    0.00000030    0.00003952    0.27062154    0.79317224    0.78527498    2.01142859   58.66666412    0.00001041    0.00000000
  7.39999533    0.00000006    0.00002735    0.00002729    0.00237617    0.00000015    0.00003442    0.44295222    0.79475737    0.78950298    2.48427677    0.00000000    0.00000937    0.00000000
  7.49999523    0.00000007    0.00002401    0.00002393    0.00312370    0.00000016    0.00003017    0.46583277    0.79569358    0.78899825    1.50000000    0.00000000    0.00000866    0.00000000
  7.59999514    0.00000007    0.00002105    0.00002098    0.00332463    0.00000013    0.00002656    0.52154368    0.79281276    0.78620362    2.97561002    0.00000000    0.00000782    0.00000000
  7.69999504    0.00000006    0.00001845    0.00001839    0.00325115    0.00000009    0.00002315    0.65659606    0.79735863    0.79164082    1.48500001    0.00000000    0.00000724    0.00000000
  7.79999495    0.00000005    0.00001632    0.00001626    0.00337010    0.00000009    0.00002035    0.61291897    0.80183136    0.79562128    1.48369563    0.00000000    0.00000653    0.00000000
  7.89999485    0.00000005    0.00001452    0.00001447    0.00344353    0.00000014    0.00001804    0.35556567    0.80488074    0.79590505    1.70498085    0.00000000    0.00000608    0.00000000
  7.99999475    0.00000004    0.00001290    0.00001286    0.00309957    0.00000006    0.00001602    0.61584508    0.80568659    0.79994553    1.77733409    0.00000000    0.00000556    0.00000000
100.00000000    0.00000000    0.00000001    0.00000001    0.00000000    0.00000000    0.00000001    0.00000000    0.76040596    0.76040596    0.00000000    0.00000000    0.00000000    0.00000000
 * The above water reflectance is actually an albedo calculation
   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
  0.00000000    0.04795710    0.49999997    0.45204288    0.09591420    0.09177567    0.95694047    0.52254695    0.52249849    0.43104404    0.00000000    0.00000000    0.00000000    0.00478752
  0.00000000    0.04378444    0.49582732    0.45204288    0.08830582    0.10645240    0.70275611    0.41130531    0.70554680    0.55862349    2.29588604    5.57684565    0.00018105    0.00869819
  0.10000000    0.03878506    0.41360098    0.37481591    0.09377411    0.09846177    0.62837404    0.39390987    0.65820825    0.51568168    2.55223703    5.80345392    0.02283059    0.00736365
  0.20000000    0.03284352    0.34023574    0.30739221    0.09653165    0.08512419    0.53491676    0.38583061    0.63605362    0.49576113    2.68341231    5.91630220    0.03759765    0.00612678
  0.30000001    0.02715932    0.27788723    0.25072789    0.09773504    0.07113144    0.44390342    0.38181877    0.62600833    0.48681733    2.75216627    5.98855209    0.04567637    0.00503236
  0.40000001    0.02219773    0.22623216    0.20403442    0.09811927    0.05841566    0.36345014    0.37999627    0.62245721    0.48364770    2.78821731    6.01174927    0.04872971    0.00412597
  0.50000000    0.01800604    0.18393680    0.16593076    0.09789252    0.04750085    0.29546490    0.37906769    0.62253350    0.48381147    2.79534316    6.01980877    0.04828023    0.00334504
  0.60000002    0.01456680    0.14958674    0.13501993    0.09738032    0.03841944    0.23943624    0.37915191    0.62474561    0.48593545    2.78453374    6.00766277    0.04570390    0.00267677
