"Wavelength","depth","alpha","phi","radiance"
1,0,167.5,120,0.00019394
1,0,167.5,180,0.00019445
1,0,167.5,240,0.00017555
1,0,167.5,300,0.00018254
1,0,172.5,0,0.0001725
1,0,172.5,60,0.00020294
1,0,172.5,120,0.00014629
1,0,172.5,180,0.00013529
1,0,172.5,240,0.00019744
1,0,172.5,300,0.00017419
1,0,177.5,0,0.00022083
1,0,177.5,60,8.4068e-05
1,0,177.5,120,0.00021833
1,0,177.5,180,0.00021582
1,0,177.5,240,9.6615e-05
1,0,177.5,300,0.00021205
1,0.1,2.5,0,0.00069011
1,0.1,2.5,60,0.00018319
1,0.1,2.5,120,0.00099376
1,0.1,2.5,180,0.0010992
1,0.1,2.5,240,0.00018696
1,0.1,2.5,300,0.00061859
1,0.1,7.5,0,0.00034584
1,0.1,7.5,60,0.00071875
1,0.1,7.5,120,0.0008477
1,0.1,7.5,180,0.00087391
1,0.1,7.5,240,0.00069549
1,0.1,7.5,300,0.00034754
1,0.1,12.500001,0,0.0003089
1,0.1,12.500001,60,0.00057818
1,0.1,12.500001,120,0.0012726
1,0.1,12.500001,180,0.0012744
1,0.1,12.500001,240,0.00059527
1,0.1,12.500001,300,0.00030916
1,0.1,17.5,0,0.00026728
1,0.1,17.5,60,0.00049259
1,0.1,17.5,120,0.0019122
1,0.1,17.5,180,0.001978
1,0.1,17.5,240,0.0004905
1,0.1,17.5,300,0.00026289
1,0.1,22.5,0,0.00019592
1,0.1,22.5,60,0.00046844
1,0.1,22.5,120,0.0029318
1,0.1,22.5,180,0.0029357
1,0.1,22.5,240,0.00048886
1,0.1,22.5,300,0.00019746
1,0.1,27.5,0,0.00017019
1,0.1,27.5,60,0.00044885
1,0.1,27.5,120,0.0048808
1,0.1,27.5,180,0.0049408
1,0.1,27.5,240,0.00044203
1,0.1,27.5,300,0.00017754
1,0.1,32.5,0,0.00015298
1,0.1,32.5,60,0.00044963
1,0.1,32.5,120,0.0089326
1,0.1,32.5,180,0.0089998
1,0.1,32.5,240,0.00043539
1,0.1,32.5,300,0.00016227
1,0.1,37.5,0,0.00014342
1,0.1,37.5,60,0.00044624
1,0.1,37.5,120,0.034884
1,0.1,37.5,180,0.035469
1,0.1,37.5,240,0.00044012
1,0.1,37.5,300,0.00014172
1,0.1,42.500004,0,0.00013665
1,0.1,42.500004,60,0.00036194
1,0.1,42.500004,120,0.055544
1,0.1,42.500004,180,8.8187
1,0.1,42.500004,240,0.00035853
1,0.1,42.500004,300,0.00014016
1,0.1,47.499996,0,0.00020903
1,0.1,47.499996,60,0.00047047
1,0.1,47.499996,120,0.010383
1,0.1,47.499996,180,0.010395
1,0.1,47.499996,240,0.0004865
1,0.1,47.499996,300,0.00021222
1,0.1,52.5,0,0.00030554
1,0.1,52.5,60,0.00050197
1,0.1,52.5,120,0.0060147
1,0.1,52.5,180,0.0060414
1,0.1,52.5,240,0.00051036
1,0.1,52.5,300,0.00031052
1,0.1,57.5,0,0.00029509
1,0.1,57.5,60,0.00052823
1,0.1,57.5,120,0.0039926
1,0.1,57.5,180,0.0039838
1,0.1,57.5,240,0.00054538
1,0.1,57.5,300,0.00030909
1,0.1,62.5,0,0.00030538
1,0.1,62.5,60,0.00053301
1,0.1,62.5,120,0.0030928
1,0.1,62.5,180,0.0030985
1,0.1,62.5,240,0.00052686
1,0.1,62.5,300,0.00030284
1,0.1,67.5,0,0.00031786
1,0.1,67.5,60,0.00054086
1,0.1,67.5,120,0.0026249
1,0.1,67.5,180,0.0025726
1,0.1,67.5,240,0.00053947
1,0.1,67.5,300,0.00031632
1,0.1,72.500008,0,0.00034703
1,0.1,72.500008,60,0.00059256
1,0.1,72.500008,120,0.0024393
1,0.1,72.500008,180,0.0023819
1,0.1,72.500008,240,0.00060477
1,0.1,72.500008,300,0.00034436
1,0.1,77.500008,0,0.00034748
1,0.1,77.500008,60,0.00063955
1,0.1,77.500008,120,0.0024279
1,0.1,77.500008,180,0.0024248
1,0.1,77.500008,240,0.00064291
1,0.1,77.500008,300,0.00033246
1,0.1,82.5,0,0.0004025
1,0.1,82.5,60,0.0006604
1,0.1,82.5,120,0.0025414
1,0.1,82.5,180,0.0025021
1,0.1,82.5,240,0.00068662
1,0.1,82.5,300,0.00037164
1,0.1,87.5,0,0.00038294
1,0.1,87.5,60,0.00073574
1,0.1,87.5,120,0.0025023
1,0.1,87.5,180,0.0026178
1,0.1,87.5,240,0.00069808
1,0.1,87.5,300,0.00039047
1,0.1,92.5,0,0.0003415
1,0.1,92.5,60,0.00053235
1,0.1,92.5,120,0.0016786
1,0.1,92.5,180,0.0016987
1,0.1,92.5,240,0.00054113
1,0.1,92.5,300,0.00034025
1,0.1,97.5,0,0.00030187
1,0.1,97.5,60,0.00048537
1,0.1,97.5,120,0.0013056
1,0.1,97.5,180,0.0013157
1,0.1,97.5,240,0.00047733
1,0.1,97.5,300,0.00032428
1,0.1,102.500008,0,0.00026954
1,0.1,102.500008,60,0.00041117
1,0.1,102.500008,120,0.00099712
1,0.1,102.500008,180,0.00099272
1,0.1,102.500008,240,0.00039745
1,0.1,102.500008,300,0.00026203
1,0.1,107.5,0,0.0002503
1,0.1,107.5,60,0.00036
1,0.1,107.5,120,0.00077361
1,0.1,107.5,180,0.00075911
1,0.1,107.5,240,0.00035409
1,0.1,107.5,300,0.00025813
1,0.1,112.500008,0,0.00023352
1,0.1,112.500008,60,0.00029635
1,0.1,112.500008,120,0.00061576
1,0.1,112.500008,180,0.00059317
1,0.1,112.500008,240,0.00029279
1,0.1,112.500008,300,0.00023306
1,0.1,117.5,0,0.00021855
1,0.1,117.5,60,0.00025942
1,0.1,117.5,120,0.00049186
1,0.1,117.5,180,0.00048278
1,0.1,117.5,240,0.00027038
1,0.1,117.5,300,0.00021561
1,0.1,122.500008,0,0.0001997
1,0.1,122.500008,60,0.0002445
1,0.1,122.500008,120,0.00038806
1,0.1,122.500008,180,0.0003889
1,0.1,122.500008,240,0.00024679
1,0.1,122.500008,300,0.00021479
1,0.1,127.5,0,0.00021672
1,0.1,127.5,60,0.00021989
1,0.1,127.5,120,0.00033193
1,0.1,127.5,180,0.00033782
1,0.1,127.5,240,0.00020675
1,0.1,127.5,300,0.00021513
1,0.1,132.5,0,0.00019113
1,0.1,132.5,60,0.00021464
1,0.1,132.5,120,0.0002856
1,0.1,132.5,180,0.00027417
1,0.1,132.5,240,0.00021826
1,0.1,132.5,300,0.00019475
1,0.1,137.5,0,0.00021617
1,0.1,137.5,60,0.00019267
1,0.1,137.5,120,0.00024682
1,0.1,137.5,180,0.00024298
1,0.1,137.5,240,0.00018652
1,0.1,137.5,300,0.0002153
1,0.1,142.500015,0,0.00020482
1,0.1,142.500015,60,0.00018273
1,0.1,142.500015,120,0.00020766
1,0.1,142.500015,180,0.00021196
1,0.1,142.500015,240,0.00018341
1,0.1,142.500015,300,0.00019349
1,0.1,147.5,0,0.0001735
1,0.1,147.5,60,0.00016952
1,0.1,147.5,120,0.00020453
1,0.1,147.5,180,0.00020767
1,0.1,147.5,240,0.00016565
1,0.1,147.5,300,0.00017833
1,0.1,152.500015,0,0.00018114
1,0.1,152.500015,60,0.00016017
1,0.1,152.500015,120,0.00017673
1,0.1,152.500015,180,0.00018141
1,0.1,152.500015,240,0.00015576
1,0.1,152.500015,300,0.00018194
1,0.1,157.5,0,0.00015986
1,0.1,157.5,60,0.00016125
1,0.1,157.5,120,0.0001645
1,0.1,157.5,180,0.00017209
1,0.1,157.5,240,0.00015212
1,0.1,157.5,300,0.00017332
1,0.1,162.5,0,0.0001717
1,0.1,162.5,60,0.00013946
1,0.1,162.5,120,0.0001738
1,0.1,162.5,180,0.00016865
1,0.1,162.5,240,0.00014328
1,0.1,162.5,300,0.00016464
1,0.1,167.5,0,0.00014862
1,0.1,167.5,60,0.00013775
1,0.1,167.5,120,0.0001696
1,0.1,167.5,180,0.00017244
1,0.1,167.5,240,0.0001551
1,0.1,167.5,300,0.00016338
1,0.1,172.5,0,0.00015051
1,0.1,172.5,60,0.00017673
1,0.1,172.5,120,0.00013022
1,0.1,172.5,180,0.00011627
1,0.1,172.5,240,0.00017461
1,0.1,172.5,300,0.00015939
1,0.1,177.5,0,0.0001857
1,0.1,177.5,60,8.4068e-05
1,0.1,177.5,120,0.00018445
1,0.1,177.5,180,0.00019323
1,0.1,177.5,240,7.7794e-05
1,0.1,177.5,300,0.00018696
1,0.2,2.5,0,0.0012083
1,0.2,2.5,60,0.00034505
1,0.2,2.5,120,0.0018294
1,0.2,2.5,180,0.0019436
1,0.2,2.5,240,0.00033753
1,0.2,2.5,300,0.0011293
1,0.2,7.5,0,0.00061516
1,0.2,7.5,60,0.0012299
1,0.2,7.5,120,0.0014903
1,0.2,7.5,180,0.0015466
1,0.2,7.5,240,0.0012291
1,0.2,7.5,300,0.00063969
1,0.2,12.500001,0,0.00054763
1,0.2,12.500001,60,0.0010334
1,0.2,12.500001,120,0.0022511
1,0.2,12.500001,180,0.0022716
1,0.2,12.500001,240,0.0010277
1,0.2,12.500001,300,0.00054323
1,0.2,17.5,0,0.00045844
1,0.2,17.5,60,0.00087892
1,0.2,17.5,120,0.0033837
1,0.2,17.5,180,0.0034569
1,0.2,17.5,240,0.00085622
1,0.2,17.5,300,0.00046627
1,0.2,22.5,0,0.000342
1,0.2,22.5,60,0.00084139
1,0.2,22.5,120,0.0051711
1,0.2,22.5,180,0.0051892
1,0.2,22.5,240,0.00085934
1,0.2,22.5,300,0.00034355
1,0.2,27.5,0,0.0002987
1,0.2,27.5,60,0.00080325
1,0.2,27.5,120,0.0086334
1,0.2,27.5,180,0.008677
1,0.2,27.5,240,0.00078735
1,0.2,27.5,300,0.00030311
1,0.2,32.5,0,0.00026357
