   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
  3.79999852    0.00002588    0.00028003    0.00025415    0.09240762    0.00006202    0.00038982    0.41725177    0.71836585    0.56249368    2.65324378    5.80891371    0.00013966    0.00000487
  3.89999843    0.00002119    0.00023065    0.00020946    0.09186487    0.00005039    0.00032033    0.42053923    0.72004181    0.56502289    2.60973620    5.84629440    0.00011498    0.00000402
  3.99999833    0.00001736    0.00018989    0.00017253    0.09142947    0.00004096    0.00026406    0.42384285    0.71912789    0.56563336    2.65339756    5.88123560    0.00009457    0.00000334
  4.09999847    0.00001437    0.00015660    0.00014223    0.09179262    0.00003446    0.00021756    0.41720602    0.71981961    0.56436533    2.60793829    5.76615906    0.00007808    0.00000279
  4.19999838    0.00001182    0.00012893    0.00011711    0.09164805    0.00002778    0.00017908    0.42531490    0.71993065    0.56612581    2.69741130    6.01310396    0.00006413    0.00000232
  4.29999828    0.00000983    0.00010663    0.00009680    0.09218967    0.00002367    0.00014834    0.41526213    0.71881527    0.56274527    2.60820580    5.71378040    0.00005283    0.00000184
  4.39999819    0.00000815    0.00008785    0.00007970    0.09274690    0.00001947    0.00012219    0.41840300    0.71898699    0.56263250    2.59858418    5.69906282    0.00004371    0.00000152
  4.49999809    0.00000663    0.00007223    0.00006560    0.09184422    0.00001522    0.00010076    0.43589601    0.71683943    0.56557727    2.67963076    6.17313623    0.00003597    0.00000121
  4.59999800    0.00000549    0.00005961    0.00005412    0.09214742    0.00001310    0.00008302    0.41920808    0.71801460    0.56299454    2.67677641    5.89662123    0.00002954    0.00000099
  4.69999790    0.00000449    0.00004900    0.00004450    0.09170137    0.00001068    0.00006833    0.42061952    0.71705788    0.56325018    2.47660708    5.91741323    0.00002425    0.00000079
  4.79999781    0.00000373    0.00004039    0.00003666    0.09241930    0.00000889    0.00005648    0.41983229    0.71514732    0.56077254    2.61425996    5.80037689    0.00002001    0.00000064
  4.89999771    0.00000302    0.00003328    0.00003026    0.09070970    0.00000699    0.00004626    0.43202567    0.71951109    0.56837881    2.61685109    5.80730677    0.00001662    0.00000057
  4.99999762    0.00000248    0.00002736    0.00002489    0.09051708    0.00000565    0.00003800    0.43871209    0.72012085    0.57021576    2.63893509    6.29079247    0.00001375    0.00000047
  5.09999752    0.00000212    0.00002264    0.00002051    0.09378037    0.00000510    0.00003168    0.41591150    0.71467757    0.55777180    2.78192472    6.01812458    0.00001128    0.00000035
  5.19999743    0.00000168    0.00001872    0.00001704    0.08977303    0.00000416    0.00002612    0.40362984    0.71689850    0.56280237    2.69618750    6.14371395    0.00000933    0.00000032
  5.29999733    0.00000140    0.00001546    0.00001405    0.09082676    0.00000346    0.00002159    0.40595171    0.71603024    0.56110483    2.65398955    5.42154551    0.00000762    0.00000028
  5.39999723    0.00000114    0.00001271    0.00001157    0.08937141    0.00000277    0.00001754    0.40975145    0.72453427    0.56974530    2.81778431    6.84868431    0.00000639    0.00000020
  5.49999714    0.00000095    0.00001054    0.00000960    0.08971927    0.00000213    0.00001456    0.44415131    0.72407180    0.57500607    2.88297868    6.47995090    0.00000528    0.00000017
  5.59999704    0.00000080    0.00000876    0.00000796    0.09108549    0.00000186    0.00001216    0.42854965    0.72046900    0.56788403    2.82449055    6.69569254    0.00000429    0.00000014
  5.69999695    0.00000065    0.00000720    0.00000655    0.09017646    0.00000158    0.00001010    0.41083598    0.71264231    0.56067687    2.47042775    5.39107370    0.00000355    0.00000012
  5.79999685    0.00000053    0.00000594    0.00000541    0.08858202    0.00000122    0.00000822    0.43280831    0.72198415    0.57331258    2.61618137    5.68536186    0.00000295    0.00000009
  5.89999676    0.00000044    0.00000489    0.00000446    0.08931126    0.00000100    0.00000681    0.43523908    0.71855229    0.57028979    2.59170103    5.20656109    0.00000249    0.00000008
  5.99999666    0.00000035    0.00000403    0.00000367    0.08743170    0.00000084    0.00000554    0.41871601    0.72623682    0.57547319    2.33798885    4.46644735    0.00000202    0.00000007
  6.09999657    0.00000028    0.00000330    0.00000301    0.08611279    0.00000064    0.00000456    0.44583535    0.72325408    0.57995516    2.86931872    7.66583109    0.00000172    0.00000005
  6.19999647    0.00000024    0.00000274    0.00000250    0.08646479    0.00000055    0.00000378    0.43410257    0.72539103    0.57901233    2.89719248    6.47821808    0.00000143    0.00000005
